URL,Price,Address,Bedrooms,Bathrooms,House_Size,Land_Size,Description
https://ikman.lk/en/ad/piliyandala-makandana-brand-new-house-for-sale-for-sale-colombo-1,25000000,Piliyandala,3,2,"1,200.0 sqft",8.0 perches,"8 perch house ,3 bedrooms ,2 bathrooms with attached ,attractive pantry cupboards ,roller gate with wicked gate ,15 width access rd ,120 meters to 1/157 bus rd ,500 meters to Bandaragama bus rd ,house"
https://ikman.lk/en/ad/brand-new-two-story-house-for-sale-in-kottawa-pinhena-junction-for-sale-colombo-8,35000000,පිංහේන හංදිය ආසන්නයෙන්,3,3,"2,524.0 sqft",7.0 perches,𝐓𝐰𝐨 𝐒𝐭𝐨𝐫𝐲 𝐋𝐮𝐱𝐮𝐫𝐲 𝟑 𝐁𝐞𝐝𝐫𝐨𝐨𝐦𝐬 𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐢𝐧 𝐊𝐨𝐭𝐭𝐚𝐰𝐚Two Story 3 Bedrooms Luxury House for sale in Kottawa - Pinhena junction. built high quality materials.  Very decent & calm environment. All the fa
https://ikman.lk/en/ad/brand-new-two-storey-house-for-sale-athurugiriya-for-sale-colombo-62,23000000,Athurugiriya,3,3,"1,290.0 sqft",7.0 perches,"(PR1525)🏡✨ Brand New Two-Storey House for Sale – Athurugiriya 🌿💰 Price: Rs. 23,000,000 – 23 Million – 230 Lakhs (Negotiable)🏠 Property Type: House📍 Location: Athurugiriya📏 Size:• Land: 7 Perches• Hous"
https://ikman.lk/en/ad/house-for-sale-in-moratuwa-for-sale-colombo-1723,55000000,Moratuwa,3,3,"3,000.0 sqft",12.5 perches,"House for Sale in MoratuwaBedrooms - 3Bathrooms - 3Perchas - 12.50Separate servants quartersHall, dining, kitchenRoof topSqft - 3000Parking space - 215ft Road500 m from main roadPrice : 55 Million (Ne"
https://ikman.lk/en/ad/nviin-pnnyee-sukoopboogii-nivs-ikmnin-vikiniimtt-for-sale-colombo,23000000,piliyandala,3,3,"1,468.0 sqft",8.5 perches,"✅ පිලියන්දල මඩපාත පාරේ කොටගෙදර හංදියට නුදුරුව පිහිටි, සුඛෝපභෝගී අලංකාර තනි මහල් නිවස ඉක්මනින් විකිණීමට..✅ 10 miniths to Piliyandala Town✅ 10 miniths to Kasbawa Junction✅ 500 meters to Madapatha RoadGA"
https://ikman.lk/en/ad/house-for-sale-in-nawala-nugegoda-for-sale-colombo,88000000,Nawala Nugegoda,5,3,"3,000.0 sqft",9.0 perches,House For Sale in Nawala Nugegoda* 9 perches* 3000 square feet* 5 Bedrooms ( AC )* 3 Bathrooms* Maids room & washroom* Wet kitchen* 3 Car park* Wide road access* Quiet neighbourhood* Convenient locati
https://ikman.lk/en/ad/roof-top-with-brand-new-house-in-athurugiriya-for-sale-colombo-1,25000000,Athurugiriya,3,3,"1,290.0 sqft",7.0 perches,Brand Single Storied House Sale Athurugiriya7 Perches & 1290 SQ Ft20 Ft Road3 Bedrooms2 Bathrooms( Hot Water )Out Side BathrooModern PantrySpacious Living / DiningFinishing RoofRooftopParking For 2 Ve
https://ikman.lk/en/ad/house-for-sale-in-ebulldeniya-ds32077-for-sale-colombo,32000000,nugegoda ebulldeniya,3,3,"2,000.0 sqft",6.0 perches,🏠 House for Sale📍 *Location:* [Ambuldeniya Nugegoda]📏 *Land Size:* 6 Perches🚗 *Parking:* Space for 3 Vehicles🌿 *Extras:* Small Garden AreaThis beautiful house is perfect for family living and features
https://ikman.lk/en/ad/brand-new-two-story-house-for-sale-in-kadawatha-for-sale-gampaha,23000000,"Gnemulla Road, Kadawatha",3,2,"1,500.0 sqft",9.5 perches,1.5km to Kadawatha - Ganemulla Road.15mins Drive to Kadawatha Town & Highway Entrance.
https://ikman.lk/en/ad/elevated-luxury-family-home-with-panoramic-views-thalawathugoda-for-sale-colombo,47500000,Thalawathugoda,5,3,"4,210.0 sqft",13.5 perches,"(SD102)🏡✨ Elevated Luxury Family Home with Panoramic Views & Solar-Ready Rooftops – Near Athurugiriya Interchange 🌿☀️🚗💰 Price – Rs. 47,500,000 – 47.5 Million – 475 Lakhs (Negotiable)🏠 Property Type – "
