Bedrooms,Bathrooms,Is_Brand_New,Is_Modern,Has_Parking,City_Tier,Price_Log,House_Size_Scaled,Land_Size_Scaled
4.0,4.0,0,1,0,3,17.822843743196746,0.2383209694864931,-0.22716032565925046
5.0,5.0,0,0,0,5,19.33697147582652,0.878415244323354,1.540115473492456
5.0,5.0,0,1,0,4,19.519293032620475,2.946412132257828,0.7448413638741882
5.0,4.0,1,1,0,3,17.4264284706085,0.0413688849213051,-0.35970601059562846
3.0,2.0,0,0,1,2,16.41820024340866,-0.9433915379046348,-0.35970601059562846
5.0,2.0,0,0,0,1,18.84594847935671,0.4845110751929781,6.40012392115965
4.0,4.0,1,0,0,2,17.822843743196746,0.0906069060626021,-0.4038879055744211
3.0,2.0,0,1,0,1,16.785925023533974,-0.45101132649166487,-0.49225169553200643
5.0,5.0,0,0,0,6,18.819456863909732,1.124605350029839,0.12629483417109086
4.0,4.0,0,1,0,5,18.03501826314038,0.0906069060626021,-0.5364335905107991
5.0,4.0,0,1,0,3,17.98989782785991,0.2137019589158446,-0.1387965357016651
5.0,4.0,0,1,0,2,17.7473361906886,0.3367970117690871,-0.22716032565925046
4.0,4.0,1,1,1,3,17.717483227538917,-0.007869136219991892,-0.49225169553200643
3.0,3.0,1,0,0,2,17.1296965626368,-0.7710584639100954,-0.22716032565925046
5.0,3.0,0,1,0,4,18.258161814454592,0.976891286605948,0.7006594688953955
4.0,4.0,0,0,0,3,18.132998671500584,0.7799392020407601,-0.05043274574407979
5.0,5.0,0,0,0,3,18.469470908121796,0.4845110751929781,1.0982965237045295
5.0,4.0,0,0,0,3,17.529082624668582,-0.007869136219991892,-0.3066877366210773
4.0,4.0,0,1,0,5,18.28141867661886,0.7385792642820705,-0.24483308365076745
4.0,3.0,0,0,0,2,17.80449460452855,0.4845110751929781,-0.08577826172711396
4.0,3.0,0,1,0,6,17.7073308560749,-0.007869136219991892,0.02556011361944354
5.0,5.0,0,0,1,5,19.432281655630845,1.961651709431888,1.805206843365212
4.0,3.0,0,1,1,3,17.49181122987135,-0.10634517850258589,-0.1387965357016651
4.0,3.0,1,0,0,5,17.840862248699423,-0.007869136219991892,-0.5806154854895917
4.0,3.0,0,0,0,3,17.47907220409392,-0.29443441926234043,-0.5806154854895917
3.0,3.0,0,0,1,5,18.132998671500584,-0.007869136219991892,-0.05043274574407979
6.0,5.0,0,0,0,6,19.532538259370497,-0.007869136219991892,0.5681137839590175
4.0,3.0,0,1,0,2,17.341871082580436,0.0906069060626021,-0.22716032565925046
4.0,2.0,0,0,0,6,18.064005800013632,0.4845110751929781,0.8332051538317735
